id,tournament_id,position,name,to_par,current_round,thru,round1,round2,round3,round4,total_score
1,1,-,Kevin Chappell,E,E,,--,--,--,--,--
2,1,-,Hideki Matsuyama,E,E,,--,--,--,--,--
3,1,-,Satoshi Kodaira,E,E,,--,--,--,--,--
4,1,-,Ollie Schniederjans,E,E,,--,--,--,--,--
5,1,-,Kevin Tway,E,E,,--,--,--,--,--
6,1,-,Jamie Lovemark,E,E,,--,--,--,--,--
7,1,-,Troy Merritt,E,E,,--,--,--,--,--
8,1,-,Adam Scott,E,E,,--,--,--,--,--
9,1,-,Louis Oosthuizen,E,E,,--,--,--,--,--
10,1,-,Matt Kuchar,E,E,,--,--,--,--,--
11,1,-,Joel Dahmen,E,E,,--,--,--,--,--
12,1,-,Michael Kim,E,E,,--,--,--,--,--
13,1,-,Scott Piercy,E,E,,--,--,--,--,--
14,1,-,Zach Johnson,E,E,,--,--,--,--,--
15,1,-,Cameron Smith,E,E,,--,--,--,--,--
16,1,-,C.T. Pan,E,E,,--,--,--,--,--
17,1,-,Jimmy Walker,E,E,,--,--,--,--,--
18,1,-,Jason Kokrak,E,E,,--,--,--,--,--
19,1,-,Keegan Bradley,E,E,,--,--,--,--,--
20,1,-,J.J. Spaun,E,E,,--,--,--,--,--
21,1,-,Brian Gay,E,E,,--,--,--,--,--
22,1,-,Charles Howell III,E,E,,--,--,--,--,--
23,1,-,Emiliano Grillo,E,E,,--,--,--,--,--
24,1,-,Si Woo Kim,E,E,,--,--,--,--,--
25,1,-,Marc Leishman,E,E,,--,--,--,--,--
26,1,-,Tiger Woods,E,E,,--,--,--,--,--
27,1,-,Tommy Fleetwood,E,E,,--,--,--,--,--
28,1,-,Andrew Putnam,E,E,,--,--,--,--,--
29,1,-,Ian Poulter,E,E,,--,--,--,--,--
30,1,-,Gary Woodland,E,E,,--,--,--,--,--
31,1,-,Brooks Koepka,E,E,,--,--,--,--,--
32,1,-,Justin Thomas,E,E,,--,--,--,--,--
33,1,-,Dustin Johnson,E,E,,--,--,--,--,--
34,1,-,Luke List,E,E,,--,--,--,--,--
35,1,-,Xander Schauffele,E,E,,--,--,--,--,--
36,1,-,Aaron Wise,E,E,,--,--,--,--,--
37,1,-,Francesco Molinari,E,E,,--,--,--,--,--
38,1,-,Webb Simpson,E,E,,--,--,--,--,--
39,1,-,Bryson DeChambeau,E,E,,--,--,--,--,--
40,1,-,Paul Casey,E,E,,--,--,--,--,--
41,1,-,Kevin Na,E,E,,--,--,--,--,--
42,1,-,Kyle Stanley,E,E,,--,--,--,--,--
43,1,-,Ryan Palmer,E,E,,--,--,--,--,--
44,1,-,Charley Hoffman,E,E,,--,--,--,--,--
45,1,-,Alex Cejka,E,E,,--,--,--,--,--
46,1,-,Jason Dufner,E,E,,--,--,--,--,--
47,1,-,Russell Henley,E,E,,--,--,--,--,--
48,1,-,Daniel Berger,E,E,,--,--,--,--,--
49,1,-,Danny Lee,E,E,,--,--,--,--,--
50,1,-,Nick Watney,E,E,,--,--,--,--,--
51,1,-,Richy Werenski,E,E,,--,--,--,--,--
52,1,-,J.T. Poston,E,E,,--,--,--,--,--
53,1,-,Vaughn Taylor,E,E,,--,--,--,--,--
