tournament_id,position,name,to_par,current_round,thru,round1,round2,round3,round4,total_score
1,-,Kevin Chappell,E,E,,--,--,--,--,--
1,-,Hideki Matsuyama,E,E,,--,--,--,--,--
1,-,Satoshi Kodaira,E,E,,--,--,--,--,--
1,-,Ollie Schniederjans,E,E,,--,--,--,--,--
1,-,Kevin Tway,E,E,,--,--,--,--,--
1,-,Jamie Lovemark,E,E,,--,--,--,--,--
1,-,Troy Merritt,E,E,,--,--,--,--,--
1,-,Adam Scott,E,E,,--,--,--,--,--
1,-,Louis Oosthuizen,E,E,,--,--,--,--,--
1,-,Matt Kuchar,E,E,,--,--,--,--,--
1,-,Joel Dahmen,E,E,,--,--,--,--,--
1,-,Michael Kim,E,E,,--,--,--,--,--
1,-,Scott Piercy,E,E,,--,--,--,--,--
1,-,Zach Johnson,E,E,,--,--,--,--,--
1,-,Cameron Smith,E,E,,--,--,--,--,--
1,-,C.T. Pan,E,E,,--,--,--,--,--
1,-,Jimmy Walker,E,E,,--,--,--,--,--
1,-,Jason Kokrak,E,E,,--,--,--,--,--
1,-,Keegan Bradley,E,E,,--,--,--,--,--
1,-,J.J. Spaun,E,E,,--,--,--,--,--
1,-,Brian Gay,E,E,,--,--,--,--,--
1,-,Charles Howell III,E,E,,--,--,--,--,--
1,-,Emiliano Grillo,E,E,,--,--,--,--,--
1,-,Si Woo Kim,E,E,,--,--,--,--,--
1,-,Marc Leishman,E,E,,--,--,--,--,--
1,-,Tiger Woods,E,E,,--,--,--,--,--
1,-,Tommy Fleetwood,E,E,,--,--,--,--,--
1,-,Andrew Putnam,E,E,,--,--,--,--,--
1,-,Ian Poulter,E,E,,--,--,--,--,--
1,-,Gary Woodland,E,E,,--,--,--,--,--
1,-,Brooks Koepka,E,E,,--,--,--,--,--
1,-,Justin Thomas,E,E,,--,--,--,--,--
1,-,Dustin Johnson,E,E,,--,--,--,--,--
1,-,Luke List,E,E,,--,--,--,--,--
1,-,Xander Schauffele,E,E,,--,--,--,--,--
1,-,Aaron Wise,E,E,,--,--,--,--,--
1,-,Francesco Molinari,E,E,,--,--,--,--,--
1,-,Webb Simpson,E,E,,--,--,--,--,--
1,-,Bryson DeChambeau,E,E,,--,--,--,--,--
1,-,Paul Casey,E,E,,--,--,--,--,--
1,-,Kevin Na,E,E,,--,--,--,--,--
1,-,Kyle Stanley,E,E,,--,--,--,--,--
1,-,Ryan Palmer,E,E,,--,--,--,--,--
1,-,Charley Hoffman,E,E,,--,--,--,--,--
1,-,Alex Cejka,E,E,,--,--,--,--,--
