id,date,home_team,away_team,score
1,09/08/2018,Sheffield Steelers,Milton Keynes Lightning,2-3 FINAL
2,09/08/2018,Nottingham Panthers,Manchester Storm,2-1 FINAL
3,09/09/2018,Milton Keynes Lightning,Sheffield Steelers,2-5 FINAL
4,09/09/2018,Manchester Storm,Nottingham Panthers,1-4 FINAL
5,09/12/2018,Sheffield Steelers,Fife Flyers,4-3 FINAL - OT
6,09/15/2018,Cardiff Devils,Nottingham Panthers,3-2 FINAL
7,09/16/2018,Coventry Blaze,Nottingham Panthers,4-5 FINAL - SHOOTOUT
8,09/16/2018,Manchester Storm,Glasgow Clan,2-4 FINAL
9,09/16/2018,Guildford Flames,Sheffield Steelers,5-1 FINAL
10,09/18/2018,Guildford Flames,Fife Flyers,1-4 FINAL
11,09/19/2018,Belfast Giants,Nottingham Panthers,3-6 FINAL
12,09/22/2018,Nottingham Panthers,Glasgow Clan,2-5 FINAL
13,09/22/2018,Fife Flyers,Belfast Giants,4-2 FINAL
14,09/23/2018,Sheffield Steelers,Cardiff Devils,2-6 FINAL
15,09/23/2018,Dundee Stars,Manchester Storm,1-2 UNOFFICIAL FINAL
16,09/23/2018,Coventry Blaze,Milton Keynes Lightning,5-2 FINAL
17,09/23/2018,Guildford Flames,Glasgow Clan,2-0 FINAL
18,09/26/2018,Nottingham Panthers,Cardiff Devils,7:30 pm
19,09/26/2018,Sheffield Steelers,Dundee Stars,7:30 pm
20,09/28/2018,Belfast Giants,Dundee Stars,7:00 pm
21,09/29/2018,Coventry Blaze,Glasgow Clan,7:00 pm
22,09/29/2018,Manchester Storm,Milton Keynes Lightning,7:00 pm
23,09/29/2018,Dundee Stars,Belfast Giants,7:00 pm
24,09/30/2018,Milton Keynes Lightning,Dundee Stars,5:15 pm
25,09/30/2018,Coventry Blaze,Sheffield Steelers,5:15 pm
26,09/30/2018,Guildford Flames,Nottingham Panthers,6:00 pm
27,09/30/2018,Cardiff Devils,Glasgow Clan,6:00 pm
28,09/30/2018,Fife Flyers,Manchester Storm,6:30 pm
29,10/03/2018,Dundee Stars,Cardiff Devils,7:30 pm
30,10/05/2018,Belfast Giants,Milton Keynes Lightning,7:00 pm
31,10/06/2018,Guildford Flames,Dundee Stars,6:00 pm
32,10/06/2018,Cardiff Devils,Manchester Storm,7:00 pm
33,10/06/2018,Sheffield Steelers,Glasgow Clan,7:00 pm
34,10/06/2018,Nottingham Panthers,Coventry Blaze,7:00 pm
35,10/06/2018,Belfast Giants,Milton Keynes Lightning,7:00 pm
36,10/07/2018,Dundee Stars,Guildford Flames,5:00 pm
37,10/07/2018,Coventry Blaze,Belfast Giants,5:15 pm
38,10/07/2018,Milton Keynes Lightning,Nottingham Panthers,5:15 pm
39,10/07/2018,Manchester Storm,Glasgow Clan,5:30 pm
40,10/07/2018,Fife Flyers,Sheffield Steelers,6:30 pm
41,10/10/2018,Belfast Giants,Guildford Flames,7:30 pm
42,10/13/2018,Cardiff Devils,Dundee Stars,7:00 pm
43,10/13/2018,Manchester Storm,Coventry Blaze,7:00 pm
44,10/13/2018,Nottingham Panthers,Sheffield Steelers,7:00 pm
45,10/13/2018,Fife Flyers,Guildford Flames,7:15 pm
