Competition,Match Date,Team A,"""Team B",Score 1,Score 2
Qualy,Copa de Oro - Bajo,18-08-2018,Sotoisola , Brunei,,
Qualy,Copa de Oro - Bajo,18-08-2018,Aguilas , La Isla,,
Qualy,Copa de Oro - Bajo,20-08-2018,Aguilas , Sotoisola,,
Qualy,Copa de Oro - Bajo,20-08-2018,La Esperanza , Brunei,,
Qualy,Copa de Oro - Bajo,23-08-2018,La Esperanza , Aguilas,,
Qualy,Copa de Oro - Bajo,23-08-2018,La Isla , Sotoisola,,
Qualy,Copa de Oro - Bajo,25-08-2018,La Isla , La Esperanza,,
Qualy,Copa de Oro - Bajo,25-08-2018,Brunei , Aguilas,,
Qualy,Copa de Oro - Bajo,27-08-2018,Brunei , La Isla,,
Qualy,Copa de Oro - Bajo,27-08-2018,Sotoisola , La Esperanza,,
Qualy,Copa de Oro - Bajo,30-08-2018,Sotoisola , La Esperanza,,
Qualy,Copa de Oro - Bajo,30-08-2018,Sotoisola , La Esperanza,,
Qualy,Copa de Oro - Bajo,01-09-2018,Sotoisola , La Esperanza,,
Qualy,Copa de Oro - Bajo,01-09-2018,Sotoisola , La Esperanza,,
Semifinals,Copa de Oro - Bajo,18-08-2018,Sotoisola , Brunei,,
Semifinals,Copa de Oro - Bajo,18-08-2018,Aguilas , La Isla,,
Semifinals,Copa de Oro - Bajo,20-08-2018,Aguilas , Sotoisola,,
Semifinals,Copa de Oro - Bajo,20-08-2018,La Esperanza , Brunei,,
Semifinals,Copa de Oro - Bajo,23-08-2018,La Esperanza , Aguilas,,
Semifinals,Copa de Oro - Bajo,23-08-2018,La Isla , Sotoisola,,
Semifinals,Copa de Oro - Bajo,25-08-2018,La Isla , La Esperanza,,
Semifinals,Copa de Oro - Bajo,25-08-2018,Brunei , Aguilas,,
Semifinals,Copa de Oro - Bajo,27-08-2018,Brunei , La Isla,,
Semifinals,Copa de Oro - Bajo,27-08-2018,Sotoisola , La Esperanza,,
Semifinals,Copa de Oro - Bajo,30-08-2018,Sotoisola , La Esperanza,,
Semifinals,Copa de Oro - Bajo,30-08-2018,Sotoisola , La Esperanza,,
Semifinals,Copa de Oro - Bajo,01-09-2018,Sotoisola , La Esperanza,,
Semifinals,Copa de Oro - Bajo,01-09-2018,Sotoisola , La Esperanza,,
Finals,Copa de Oro - Bajo,18-08-2018,Sotoisola , Brunei,,
Finals,Copa de Oro - Bajo,18-08-2018,Aguilas , La Isla,,
Finals,Copa de Oro - Bajo,20-08-2018,Aguilas , Sotoisola,,
Finals,Copa de Oro - Bajo,20-08-2018,La Esperanza , Brunei,,
Finals,Copa de Oro - Bajo,23-08-2018,La Esperanza , Aguilas,,
Finals,Copa de Oro - Bajo,23-08-2018,La Isla , Sotoisola,,
Finals,Copa de Oro - Bajo,25-08-2018,La Isla , La Esperanza,,
Finals,Copa de Oro - Bajo,25-08-2018,Brunei , Aguilas,,
Finals,Copa de Oro - Bajo,27-08-2018,Brunei , La Isla,,
Finals,Copa de Oro - Bajo,27-08-2018,Sotoisola , La Esperanza,,
Finals,Copa de Oro - Bajo,30-08-2018,Sotoisola , La Esperanza,,
Finals,Copa de Oro - Bajo,30-08-2018,Sotoisola , La Esperanza,,
Finals,Copa de Oro - Bajo,01-09-2018,Sotoisola , La Esperanza,,
Finals,Copa de Oro - Bajo,01-09-2018,Sotoisola , La Esperanza,,
Qualy,Open du Soleil (10hcp),16-08-2018,Battistoni , Dark Ice,9 , 7
Qualy,Open du Soleil (10hcp),16-08-2018,Saint-Tropez Polo Team , La Magdeleine,9.5 , 10
Qualy,Open du Soleil (10hcp),18-08-2018,Dark Ice , La Magdeleine,,
Qualy,Open du Soleil (10hcp),18-08-2018,Battistoni , VT Wealth Management,,
Qualy,Open du Soleil (10hcp),19-08-2018,Battistoni , Saint-Tropez Polo Team,,
Qualy,Open du Soleil (10hcp),21-08-2018,Dark Ice , VT Wealth Management,,
Qualy,Open du Soleil (10hcp),22-08-2018,VT Wealth Management , La Magdeleine,,
