place,lub,level,tournament_type,winner_points,finalist_points,semi_points,appearance_points,id
 Sotogrande Spain, Santa María Polo Club, 15hcp, Open,0,0,0,0,13
 Sotogrande Spain, Santa María Polo Club, 21hcp, Open,0,0,0,0,14
 1999 Route Du Bourrian 83580 Gassin Francia, St. Tropez Polo Club, 8-10hcp, Handicap,0,0,0,0,22
 1999 Route du Bourrian 83580 Gassin Francia, St. Tropez Polo Club, 10-14hcp, Handicap,0,0,0,0,23
 1 Hurlingham Drive Greenwich CT 06831, Greenwich Polo Club, 16hcp, Open,0,0,0,0,24
 Easebourne Midhurst West Sussex, Cowdray Park Polo Club, 22hcp, Open, 200, 100, 70, 50,25
 Paris France, Polo de Paris, 9-10hcp, Open, 30, 15, 5,0,26
 Guards UK, Guards Polo Club, 12-15hcp, Handicap, 50, 25, 10,0,27
 80 Field Point Greenwich, Greenwich Polo Club, 16hcp, Open,0,0,0,0,28
 200 Bellport Ave Medford NY 11763, Meadowbrook Polo Club, 12hcp,null,0,0,0,0,29
 France, St Stropez Polo Club, 8-10hcp, Handicap,0,0,0,0,30
 England, Guards Polo Club, 22hcp, Open, 125, 65, 45, 30,31
 Easebourne UK, Cowdray Park Polo Club, 15-18hcp, Handicap, 50, 25, 10,0,32
 Midhurst, Cowdray Park Polo Club, 22hcp, Open,0,0,0,0,33
 Windsor Great Park, Guards Polo Club, 15hcp, Open, 10, 5, 1,0,34
 Barcelona Spain., Real Club de Polo de Barcelona, 6-8hcp, Handicap,0,0,0,0,35
 Pilar/ Buenos Aires, APP Pilar, 28-34hcp,null,0,0,0,0,36
 Palermo Buenos Aires, AAP Palermo, 26hcp, Open,0,0,0,0,37
 Pilar/Palermo Buenos Aires, AAP Pilar,  0-12hcp, Handicap,0,0,0,0,38
 Dubai UAE, Al Habtoor Polo Resort, 7-8hcp, Handicap,0,0,0,0,39
 Wellington Palm Beach Florida, International Polo Club, 20hcp, Open, 250, 125, 90,0,40
 Dubai UAE, Al Habtoor Polo Resort, 18hcp, Handicap, 20, 10, 2,0,41
 Dubai UAE, Al Habtoor Polo Resort, 2-5hcp, Handicap,0,0,0,0,42
  Wellington Palm Beach Florida, International Polo Club, 26hcp, Handicap,0,0,0,0,43
 Wellington Florida, Grand Champions Polo Club, 20Hcp, Open,0,0,0,0,44
 Wellington Palm Beach Florida, International Polo Club, 20hcp, Open,0,0,0,0,45
 Wellington Palm Beach Florida, International Polo Club, 26hcp, Open, 50, 25, 10,0,46
 Wellington Palm Beach Florida, International Polo Club, 20hcp, Open, 40, 20, 10,0,47
 Wellington Palm Beach Florida, International Polo Club, 20hcp, Open, 30, 15, 5,0,48
