stage,match_date,team_a,team_b,team_a_score,team_b_score,competition,id
Qualy,2018-09-10,La Mariana , La Dolfina Brava II,0,0,1,1
Qualy,2018-09-11,Las Monjitas , La Dolfina Brava II,0,0,1,2
Qualy,2018-09-11,Pilará EN , La Cañada Angiocor – Daily Racing Form,0,0,1,3
Qualy,2018-09-12,La Ensenada , La Dolfina Valiente,0,0,1,4
Qualy,2018-09-12,Chapaleufú , La Dolfina Brava I,0,0,1,5
Qualy,2018-09-15,Chapaleufú , La Dolfina Brava I,0,0,1,6
Qualy,2018-09-16,Chapaleufú , La Dolfina Brava I,0,0,1,7
Qualy,2018-09-22,Chapaleufú , La Dolfina Brava I,0,0,1,8
Quarterfinals,2018-09-10,La Mariana , La Dolfina Brava II,0,0,1,9
Quarterfinals,2018-09-11,Las Monjitas , La Dolfina Brava II,0,0,1,10
Quarterfinals,2018-09-11,Pilará EN , La Cañada Angiocor – Daily Racing Form,0,0,1,11
Quarterfinals,2018-09-12,La Ensenada , La Dolfina Valiente,0,0,1,12
Quarterfinals,2018-09-12,Chapaleufú , La Dolfina Brava I,0,0,1,13
Quarterfinals,2018-09-15,Chapaleufú , La Dolfina Brava I,0,0,1,14
Quarterfinals,2018-09-16,Chapaleufú , La Dolfina Brava I,0,0,1,15
Quarterfinals,2018-09-22,Chapaleufú , La Dolfina Brava I,0,0,1,16
Semifinals,2018-09-10,La Mariana , La Dolfina Brava II,0,0,1,17
Semifinals,2018-09-11,Las Monjitas , La Dolfina Brava II,0,0,1,18
Semifinals,2018-09-11,Pilará EN , La Cañada Angiocor – Daily Racing Form,0,0,1,19
Semifinals,2018-09-12,La Ensenada , La Dolfina Valiente,0,0,1,20
Semifinals,2018-09-12,Chapaleufú , La Dolfina Brava I,0,0,1,21
Semifinals,2018-09-15,Chapaleufú , La Dolfina Brava I,0,0,1,22
Semifinals,2018-09-16,Chapaleufú , La Dolfina Brava I,0,0,1,23
Semifinals,2018-09-22,Chapaleufú , La Dolfina Brava I,0,0,1,24
Final,2018-09-10,La Mariana , La Dolfina Brava II,0,0,1,25
