id,round,home_team,match_date,away_team
1,18,Wasps FC Ladies,09/15/2018,Loughborough Lightning
2,18,Saracens Women,09/15/2018,Worcester Valkyries
3,18,Darlington Mowden Park Sharks,09/15/2018,Gloucester-Hartpury Women's RFC
4,18,Richmond FC,09/15/2018,Firwood Waterloo Ladies
5,18,Harlequins Ladies,09/15/2018,Bristol Bears Women
6,18,Firwood Waterloo Ladies,09/22/2018,Wasps FC Ladies
7,18,Worcester Valkyries,09/22/2018,Richmond FC
8,18,Darlington Mowden Park Sharks,09/22/2018,Saracens Women
9,18,Bristol Bears Women,09/22/2018,Gloucester-Hartpury Women's RFC
10,18,Loughborough Lightning,09/22/2018,Harlequins Ladies
11,18,Bristol Bears Women,09/29/2018,Darlington Mowden Park Sharks
12,18,Gloucester-Hartpury Women's RFC,09/29/2018,Loughborough Lightning
13,18,Wasps FC Ladies,09/29/2018,Worcester Valkyries
14,18,Harlequins Ladies,09/29/2018,Firwood Waterloo Ladies
15,18,Richmond FC,09/29/2018,Saracens Women
16,18,Firwood Waterloo Ladies,10/13/2018,Gloucester-Hartpury Women's RFC
17,18,Worcester Valkyries,10/13/2018,Harlequins Ladies
18,18,Loughborough Lightning,10/13/2018,Bristol Bears Women
19,18,Saracens Women,10/13/2018,Wasps FC Ladies
20,18,Darlington Mowden Park Sharks,10/13/2018,Richmond FC
21,18,Wasps FC Ladies,10/20/2018,Richmond FC
22,18,Bristol Bears Women,10/20/2018,Firwood Waterloo Ladies
23,18,Harlequins Ladies,10/20/2018,Saracens Women
24,18,Gloucester-Hartpury Women's RFC,10/20/2018,Worcester Valkyries
25,18,Loughborough Lightning,10/20/2018,Darlington Mowden Park Sharks
26,18,Firwood Waterloo Ladies,10/27/2018,Loughborough Lightning
27,18,Worcester Valkyries,10/27/2018,Bristol Bears Women
28,18,Darlington Mowden Park Sharks,10/27/2018,Wasps FC Ladies
29,18,Richmond FC,10/28/2018,Harlequins Ladies
30,18,Saracens Women,10/28/2018,Gloucester-Hartpury Women's RFC
31,18,Loughborough Lightning,11/3/2018,Worcester Valkyries
32,18,Firwood Waterloo Ladies,11/3/2018,Darlington Mowden Park Sharks
33,18,Gloucester-Hartpury Women's RFC,11/3/2018,Richmond FC
34,18,Bristol Bears Women,11/3/2018,Saracens Women
35,18,Harlequins Ladies,11/4/2018,Wasps FC Ladies
36,18,Richmond FC,11/24/2018,Bristol Bears Women
37,18,Wasps FC Ladies,11/24/2018,Gloucester-Hartpury Women's RFC
38,18,Worcester Valkyries,11/24/2018,Firwood Waterloo Ladies
39,18,Darlington Mowden Park Sharks,11/24/2018,Harlequins Ladies
40,18,Saracens Women,11/24/2018,Loughborough Lightning
41,18,Gloucester-Hartpury Women's RFC,12/1/2018,Darlington Mowden Park Sharks
42,18,Bristol Bears Women,12/1/2018,Harlequins Ladies
43,18,Loughborough Lightning,12/1/2018,Wasps FC Ladies
44,18,Worcester Valkyries,12/1/2018,Saracens Women
45,18,Firwood Waterloo Ladies,12/2/2018,Richmond FC
46,18,Harlequins Ladies,12/8/2018,Loughborough Lightning
47,18,Gloucester-Hartpury Women's RFC,12/8/2018,Bristol Bears Women
48,18,Wasps FC Ladies,12/8/2018,Firwood Waterloo Ladies
49,18,Saracens Women,12/8/2018,Darlington Mowden Park Sharks
50,18,Richmond FC,12/9/2018,Worcester Valkyries
51,18,Loughborough Lightning,12/15/2018,Gloucester-Hartpury Women's RFC
52,18,Worcester Valkyries,12/15/2018,Wasps FC Ladies
53,18,Firwood Waterloo Ladies,12/15/2018,Harlequins Ladies
